"","run","samples","edays","egord","xseed","yseed","degord","nobjects","dev","type","k"
"192",12,1,27.6525,0.0753366221083694,46.02,28.88,0.541664694280079,1,0.466328072171709,"IXR",10
"193",13,0,27.6525,0,51.14,33.64,0.541664694280079,1,0.541664694280079,"IXR",10
"194",14,6,27.6525,0.452019732650217,13.91,49.3,0.541664694280079,1,0.0896449616298623,"IXR",10
"195",15,0,27.6525,0,46.12,24.07,0.541664694280079,1,0.541664694280079,"IXR",10
"196",1,13,27.6525,0.979376087408803,50.62,22.81,0.541664694280079,1,-0.437711393128724,"IXR",20
"197",2,11,27.6525,0.828702843192064,54.33,49.36,0.541664694280079,1,-0.287038148911985,"IXR",20
"198",3,7,27.6525,0.527356354758586,30.21,25.68,0.541664694280079,1,0.0143083395214929,"IXR",20
"199",4,5,27.6525,0.376683110541847,44.8,54.19,0.541664694280079,1,0.164981583738232,"IXR",20
"200",5,16,27.6525,1.20538595373391,53.97,21.99,0.541664694280079,1,-0.663721259453832,"IXR",20
"201",6,13,27.6525,0.979376087408803,49.75,20.69,0.541664694280079,1,-0.437711393128724,"IXR",20
"202",7,7,27.6525,0.527356354758586,23.18,19.57,0.541664694280079,1,0.0143083395214929,"IXR",20
"203",8,8,27.6525,0.602692976866955,18.21,46.05,0.541664694280079,1,-0.0610282825868765,"IXR",20
"204",9,10,27.6525,0.753366221083694,44.65,40.4,0.541664694280079,1,-0.211701526803615,"IXR",20
"205",10,13,27.6525,0.979376087408803,51.08,19.39,0.541664694280079,1,-0.437711393128724,"IXR",20
"206",11,11,27.6525,0.828702843192064,46.51,13.43,0.541664694280079,1,-0.287038148911985,"IXR",20
"207",12,1,27.6525,0.0753366221083694,52.66,52.38,0.541664694280079,1,0.466328072171709,"IXR",20
"208",13,7,27.6525,0.527356354758586,16.65,48.24,0.541664694280079,1,0.0143083395214929,"IXR",20
"209",14,9,27.6525,0.678029598975325,16.74,33.22,0.541664694280079,1,-0.136364904695246,"IXR",20
"210",15,13,27.6525,0.979376087408803,29.89,21.09,0.541664694280079,1,-0.437711393128724,"IXR",20
"211",1,4,27.6525,0.301346488433478,43.03,16.35,0.541664694280079,1,0.240318205846601,"IXR",100
"212",2,9,27.6525,0.678029598975325,24.03,32.06,0.541664694280079,1,-0.136364904695246,"IXR",100
"213",3,7,27.6525,0.527356354758586,18.58,53.06,0.541664694280079,1,0.0143083395214929,"IXR",100
"214",4,8,27.6525,0.602692976866955,52.82,15.4,0.541664694280079,1,-0.0610282825868765,"IXR",100
"215",5,5,27.6525,0.376683110541847,53.78,14.61,0.541664694280079,1,0.164981583738232,"IXR",100
"216",6,7,27.6525,0.527356354758586,36.15,17.37,0.541664694280079,1,0.0143083395214929,"IXR",100
"217",7,9,27.6525,0.678029598975325,10.15,37.74,0.541664694280079,1,-0.136364904695246,"IXR",100
"218",8,5,27.6525,0.376683110541847,51.52,49.31,0.541664694280079,1,0.164981583738232,"IXR",100
"219",9,10,27.6525,0.753366221083694,28.52,50.08,0.541664694280079,1,-0.211701526803615,"IXR",100
"220",10,7,27.6525,0.527356354758586,35.17,45.27,0.541664694280079,1,0.0143083395214929,"IXR",100
"221",11,9,27.6525,0.678029598975325,12.15,47.6,0.541664694280079,1,-0.136364904695246,"IXR",100
"222",12,9,27.6525,0.678029598975325,45.36,47.35,0.541664694280079,1,-0.136364904695246,"IXR",100
"223",13,9,27.6525,0.678029598975325,48.15,18.64,0.541664694280079,1,-0.136364904695246,"IXR",100
"224",14,7,27.6525,0.527356354758586,45.7,29.34,0.541664694280079,1,0.0143083395214929,"IXR",100
"225",15,7,27.6525,0.527356354758586,38.35,46.78,0.541664694280079,1,0.0143083395214929,"IXR",100
"226",1,22,27.6525,1.65740568638413,32.3398397532514,41.9592182699836,2.16666666666667,1,0.509260980282539,"IXT",2.5
"227",2,88,27.6525,6.62962274553651,54.8718033647386,24.7806135209517,2.16666666666667,1,-4.46295607886984,"IXT",2.5
"228",3,86,27.6525,6.47894950131977,53.8064896055714,24.2548839072503,2.16666666666667,1,-4.31228283465311,"IXT",2.5
"229",4,13,27.6525,0.979376087408803,28.4097493266779,36.7357874940993,2.16666666666667,1,1.18729057925786,"IXT",2.5
"230",5,16,27.6525,1.20538595373391,32.4333487289161,39.0785978292036,2.16666666666667,1,0.961280712932756,"IXT",2.5
"231",6,24,27.6525,1.80807893060087,26.9915193050028,42.3380522000665,2.16666666666667,1,0.3585877360658,"IXT",2.5
